Mapped Name,Original Feature Name
glcm_100,original_glcm_clustTendency_3D_Max
glcm_101,original_glcm_clustShade_3D_avg
glcm_102,original_glcm_clustShade_3D_Median
glcm_103,original_glcm_clustShade_3D_StdDev
glcm_104,original_glcm_clustShade_3D_Min
glcm_105,original_glcm_clustShade_3D_Max
glcm_106,original_glcm_clustPromin_3D_avg
glcm_107,original_glcm_clustPromin_3D_Median
glcm_108,original_glcm_clustPromin_3D_StdDev
glcm_109,original_glcm_clustPromin_3D_Min
glcm_110,original_glcm_clustPromin_3D_Max
glcm_111,original_glcm_haralickCorr_3D_avg
glcm_112,original_glcm_haralickCorr_3D_Median
glcm_113,original_glcm_haralickCorr_3D_StdDev
glcm_114,original_glcm_haralickCorr_3D_Min
glcm_115,original_glcm_haralickCorr_3D_Max
glcm_116,original_glcm_autoCorr_3D_avg
glcm_117,original_glcm_autoCorr_3D_Median
glcm_118,original_glcm_autoCorr_3D_StdDev
glcm_119,original_glcm_autoCorr_3D_Min
glcm_120,original_glcm_autoCorr_3D_Max
glcm_121,original_glcm_firstInfCorr_3D_avg
glcm_122,original_glcm_firstInfCorr_3D_Median
glcm_123,original_glcm_firstInfCorr_3D_StdDev
glcm_124,original_glcm_firstInfCorr_3D_Min
glcm_125,original_glcm_firstInfCorr_3D_Max
glcm_126,original_glcm_secondInfCorr_3D_avg
glcm_127,original_glcm_secondInfCorr_3D_Median
glcm_128,original_glcm_secondInfCorr_3D_StdDev
glcm_129,original_glcm_secondInfCorr_3D_Min
glcm_130,original_glcm_secondInfCorr_3D_Max
glrlm_1,original_glrlm_shortRunEmphasis_3D_avg
glrlm_2,original_glrlm_shortRunEmphasis_3D_Median
glrlm_3,original_glrlm_shortRunEmphasis_3D_StdDev
glrlm_4,original_glrlm_shortRunEmphasis_3D_Min
glrlm_5,original_glrlm_shortRunEmphasis_3D_Max
glrlm_6,original_glrlm_longRunEmphasis_3D_avg
glrlm_7,original_glrlm_longRunEmphasis_3D_Median
glrlm_8,original_glrlm_longRunEmphasis_3D_StdDev
glrlm_9,original_glrlm_longRunEmphasis_3D_Min
glrlm_10,original_glrlm_longRunEmphasis_3D_Max
glrlm_11,original_glrlm_grayLevelNonUniformity_3D_avg
glrlm_12,original_glrlm_grayLevelNonUniformity_3D_Median
glrlm_13,original_glrlm_grayLevelNonUniformity_3D_StdDev
glrlm_14,original_glrlm_grayLevelNonUniformity_3D_Min
glrlm_15,original_glrlm_grayLevelNonUniformity_3D_Max
glrlm_16,original_glrlm_grayLevelNonUniformityNorm_3D_avg
glrlm_17,original_glrlm_grayLevelNonUniformityNorm_3D_Median
glrlm_18,original_glrlm_grayLevelNonUniformityNorm_3D_StdDev
glrlm_19,original_glrlm_grayLevelNonUniformityNorm_3D_Min
glrlm_20,original_glrlm_grayLevelNonUniformityNorm_3D_Max
glrlm_21,original_glrlm_runLengthNonUniformity_3D_avg
glrlm_22,original_glrlm_runLengthNonUniformity_3D_Median
glrlm_23,original_glrlm_runLengthNonUniformity_3D_StdDev
glrlm_24,original_glrlm_runLengthNonUniformity_3D_Min
glrlm_25,original_glrlm_runLengthNonUniformity_3D_Max
glrlm_26,original_glrlm_runLengthNonUniformityNorm_3D_avg
glrlm_27,original_glrlm_runLengthNonUniformityNorm_3D_Median
glrlm_28,original_glrlm_runLengthNonUniformityNorm_3D_StdDev
